mq2,mq3,mq4,mq5,mq6,mq7,mq8,mq9,mq135,result
492,475,460,438,409,404,416,414,472,0
465,467,467,459,445,429,423,414,431,0
435,440,443,443,435,429,427,420,421,0
424,425,426,427,424,421,421,417,417,0
421,421,422,422,423,419,418,414,414,0
416,415,412,410,405,405,407,406,408,0
412,411,409,405,400,398,398,397,401,0
408,408,409,408,407,402,400,397,398,0
404,403,402,399,394,394,395,393,396,0
401,400,398,395,389,387,388,387,391,0
399,399,401,399,398,393,391,388,390,0
397,396,395,392,388,387,388,387,389,0
395,394,392,388,382,381,382,381,385,0
395,395,396,394,393,388,386,383,385,0
393,392,391,389,385,384,385,383,385,0
392,391,388,385,379,378,379,378,382,0
392,392,393,391,390,384,383,380,382,0
391,390,389,387,383,382,383,381,383,0
390,389,386,383,376,375,377,376,380,0
390,390,392,390,389,383,382,379,381,0
389,388,388,386,383,381,382,380,382,0
388,387,385,381,374,373,375,375,379,0
389,389,390,388,387,382,380,378,379,0
389,388,388,386,383,381,382,380,381,0
388,387,384,381,374,374,375,375,379,0
389,389,390,388,386,381,380,377,379,0
389,388,388,386,383,381,381,379,381,0
388,387,384,381,375,374,375,375,379,0
388,388,389,387,386,380,379,377,379,0
388,388,388,386,384,381,381,379,380,0
387,386,384,380,374,374,375,375,378,0
388,388,388,386,384,379,378,376,378,0
388,387,387,385,384,381,381,379,380,0
387,386,383,380,373,373,375,374,378,0
388,388,388,386,384,379,378,376,378,0
388,387,388,386,384,381,381,379,380,0
387,386,383,380,374,374,375,375,378,0
388,388,388,386,383,379,378,376,378,0
388,388,389,387,385,382,381,379,380,0
387,386,383,380,374,374,376,375,379,0
388,388,388,385,383,378,377,375,378,0
388,388,389,387,386,382,382,379,380,0
387,386,384,380,374,374,376,376,379,0
387,387,387,385,382,377,377,375,378,0
388,388,389,387,386,382,382,379,380,0
387,386,383,380,374,374,376,376,379,0
387,387,387,384,381,377,376,375,378,0
388,388,389,387,387,382,381,379,379,0
387,386,383,380,374,374,376,375,379,0
387,387,386,383,380,376,376,374,377,0
388,388,389,387,387,382,382,379,380,0
387,386,383,380,374,374,376,376,379,0
387,387,386,383,379,376,376,374,377,0
388,388,389,388,387,382,381,379,379,0
387,386,384,381,375,374,376,376,379,0
387,386,385,382,377,374,374,373,377,0
388,387,389,387,387,382,381,378,379,0
387,385,384,381,375,375,377,376,379,0
387,386,385,382,377,374,374,373,377,0
387,387,389,387,387,382,381,378,379,0
387,386,384,381,376,375,377,376,379,0
386,386,384,381,376,373,374,373,377,0
387,387,389,387,387,381,380,377,378,0
386,385,384,381,376,376,377,376,378,0
386,386,384,381,375,373,374,373,377,0
388,388,389,387,386,382,380,378,379,0
387,386,384,382,377,376,378,377,379,0
386,386,384,381,375,373,374,373,377,0
388,388,389,387,386,381,380,377,378,0
387,386,385,382,378,377,378,377,379,0
387,386,384,381,374,373,374,373,377,0
388,388,389,387,386,381,380,377,378,0
387,386,385,383,379,378,379,378,379,0
386,385,383,380,373,372,374,373,377,0
388,388,389,387,386,381,379,377,378,0
388,387,386,383,380,379,380,378,380,0
386,385,383,379,372,371,373,373,377,0
387,387,389,387,386,381,379,376,378,0
387,387,387,385,382,381,382,380,380,0
387,386,383,380,373,372,374,374,378,0
388,388,389,388,387,381,379,377,378,0
388,387,387,386,384,382,382,380,381,0
387,386,383,380,373,373,375,375,379,0
388,388,389,387,385,380,379,376,378,0
388,387,388,386,384,381,381,379,380,0
387,386,383,380,373,373,375,374,378,0
387,388,388,386,385,380,378,376,378,0
387,387,387,385,384,381,381,379,380,0
387,386,383,379,373,372,374,374,378,0
387,387,388,386,384,379,378,375,377,0
387,387,388,386,385,382,382,379,380,0
387,386,383,380,374,373,375,375,378,0
387,387,387,385,383,378,377,375,378,0
388,388,389,387,386,383,382,379,380,0
387,386,383,380,374,374,376,375,379,0
388,388,388,385,383,378,377,376,378,0
389,389,391,389,389,385,384,381,381,0
390,389,389,387,383,383,384,382,382,0
392,392,393,392,391,386,385,383,383,0
393,393,395,393,394,390,389,386,385,0
391,389,387,383,377,377,380,380,383,0
390,390,389,386,382,377,377,376,380,0
389,389,390,388,387,382,381,379,380,0
387,386,383,380,373,373,375,374,378,0
386,386,385,383,379,375,375,373,376,0
387,387,388,386,386,381,380,378,379,0
385,384,381,378,372,372,374,374,377,0
385,385,384,381,377,374,373,372,376,0
386,386,387,385,384,379,378,376,377,0
385,384,381,377,371,371,373,373,376,0
384,384,383,380,376,372,372,371,375,0
385,385,387,385,384,380,379,376,377,0
384,383,380,377,371,371,373,373,376,0
384,384,383,380,375,372,372,371,375,0
385,385,387,385,384,379,378,375,376,0
384,383,381,378,372,372,374,373,376,0
385,384,383,380,376,373,373,372,375,0
386,386,388,386,386,381,379,377,377,0
385,384,382,379,373,373,375,375,377,0
385,385,383,380,375,372,373,372,376,0
386,386,388,386,386,381,379,377,378,0
386,385,383,380,375,375,376,376,378,0
386,385,383,380,375,372,373,372,376,0
386,386,386,384,383,378,377,375,376,0
385,384,382,380,375,374,376,375,377,0
386,386,385,382,379,377,377,375,378,0
390,390,392,392,394,390,388,385,383,0
389,387,385,381,375,376,378,378,381,0
388,387,385,382,376,373,374,374,378,0
389,389,391,390,390,385,383,380,380,0
389,388,388,386,383,383,384,383,383,0
391,391,390,388,386,385,386,384,384,0
398,398,402,403,409,405,402,397,392,0
421,423,438,449,478,482,473,458,430,0
433,428,436,443,465,476,474,465,442,0
431,425,429,430,441,449,448,443,430,0
432,426,422,418,420,423,427,429,429,0
430,424,413,401,389,386,392,400,418,0
408,403,380,356,316,303,314,333,377,0
395,404,407,403,387,373,366,360,370,0
373,377,377,377,362,358,358,355,359,0
369,371,372,373,368,363,362,359,360,0
370,370,368,366,360,359,361,360,363,0
371,370,367,364,355,353,355,356,361,0
374,374,375,373,371,365,364,362,364,0
375,374,373,371,366,364,366,365,367,0
376,376,373,370,364,362,364,363,368,0
378,378,379,377,374,369,368,366,369,0
379,378,378,375,371,369,370,369,371,0
381,380,379,376,371,370,371,370,373,0
385,385,387,386,388,384,382,379,378,0
386,384,383,380,377,377,379,378,379,0
386,385,383,380,375,374,375,374,377,0
386,385,385,382,379,374,374,372,376,0
385,385,384,381,376,374,375,374,376,0
383,383,380,377,370,369,370,370,374,0
384,384,385,383,381,376,375,373,375,0
384,383,381,378,373,371,372,372,375,0
383,382,380,376,369,368,369,368,373,0
384,384,386,384,383,377,375,373,374,0
384,384,383,381,377,376,377,376,377,0
384,383,380,377,370,369,371,371,375,0
385,385,386,383,382,376,375,373,375,0
385,384,384,381,377,376,377,375,377,0
385,385,383,380,375,374,375,375,377,0
389,389,392,391,393,387,385,382,381,0
389,387,386,384,381,380,381,380,381,0
386,384,380,375,365,364,367,368,375,0
387,388,389,387,385,378,376,374,376,0
386,385,385,383,380,377,377,376,377,0
384,383,380,376,368,367,369,370,375,0
385,385,386,384,381,375,374,372,374,0
384,383,383,380,376,374,375,373,375,0
383,382,380,376,369,368,370,370,374,0
384,384,385,383,381,375,374,372,374,0
384,384,384,382,379,376,377,375,376,0
383,382,379,375,367,367,369,369,374,0
384,384,385,383,381,375,373,371,374,0
384,384,384,383,381,378,378,376,376,0
384,383,380,377,370,370,372,372,375,0
384,384,385,383,380,375,374,372,375,0
385,385,386,384,383,379,379,377,378,0
385,384,381,378,371,371,373,373,376,0
386,386,386,384,382,377,376,374,376,0
385,385,385,383,380,377,378,376,377,0
385,384,382,379,373,372,374,374,377,0
386,385,385,383,380,375,375,373,376,0
386,386,387,385,383,379,379,377,378,0
385,384,381,378,371,371,373,372,376,0
386,386,386,384,381,376,375,373,376,0
386,386,386,384,383,379,379,377,378,0
385,384,381,378,371,371,373,373,376,0
386,386,386,383,381,376,375,373,376,0
386,386,387,385,383,380,379,377,378,0
385,384,381,378,371,371,373,373,376,0
385,385,385,383,380,375,374,373,375,0
386,386,387,385,384,380,379,377,378,0
385,384,381,378,372,372,374,374,377,0
386,386,386,383,380,376,375,373,376,0
386,386,387,385,384,380,380,377,378,0
385,384,382,379,373,372,374,374,377,0
386,386,386,383,380,375,375,373,376,0
386,386,387,386,384,381,380,377,378,0
385,384,382,378,372,372,374,374,377,0
386,386,386,384,381,376,375,374,376,0
388,387,389,387,387,383,382,379,379,0
387,386,383,380,375,375,377,376,379,0
387,387,386,384,380,376,376,374,377,0
387,387,389,387,386,382,381,378,379,0
386,385,382,379,373,373,375,374,377,0
386,386,385,383,379,375,375,373,376,0
387,387,388,387,386,382,381,378,378,0
386,385,383,379,373,374,376,375,378,0
386,386,385,383,379,375,374,373,376,0
387,387,388,387,386,381,380,378,378,0
385,384,382,379,373,373,375,374,377,0
386,385,385,382,379,375,375,373,376,0
387,387,388,387,387,383,382,379,379,0
386,385,382,379,372,373,375,375,378,0
386,386,385,382,378,374,374,372,376,0
387,387,388,387,387,382,381,378,378,0
386,385,383,379,374,374,376,375,378,0
386,385,384,381,377,374,374,373,376,0
387,387,388,387,386,382,381,378,378,0
386,385,382,379,373,373,375,375,378,0
386,385,384,381,376,373,373,372,376,0
386,387,388,387,386,382,380,377,378,0
386,385,383,380,374,374,376,375,378,0
386,385,384,381,376,373,373,372,376,0
386,386,388,387,386,381,380,377,378,0
386,384,383,380,374,374,376,376,378,0
386,385,383,380,375,372,373,372,376,0
386,386,388,386,386,381,380,377,378,0
386,385,383,380,374,374,376,375,378,0
385,385,383,380,375,372,373,372,376,0
387,387,388,386,386,381,380,377,378,0
386,385,383,380,375,375,377,376,378,0
385,385,383,380,374,372,373,372,376,0
386,386,388,386,386,381,380,377,378,0
386,385,383,380,375,375,377,376,378,0
386,385,383,380,374,372,373,372,376,0
387,387,388,387,386,381,380,377,378,0
386,385,384,381,376,376,377,376,378,0
386,385,383,380,374,372,373,373,376,0
387,387,388,386,386,380,379,376,378,0
386,385,384,381,376,376,377,376,378,0
385,385,383,379,374,372,373,372,376,0
386,386,388,386,385,380,379,376,378,0
386,385,384,381,376,376,377,376,378,1
385,385,383,379,374,372,373,372,376,1
387,387,388,386,385,380,379,376,377,1
386,385,384,381,377,376,377,376,378,1
385,384,382,379,373,371,372,372,376,1
386,386,388,386,385,380,379,376,377,1
386,385,384,381,377,376,377,376,378,1
385,384,382,379,372,371,372,372,376,1
386,386,388,386,385,380,378,376,377,1
386,385,384,381,377,376,378,376,378,1
385,384,382,379,372,371,372,372,376,1
386,386,387,386,385,379,378,375,377,1
386,385,384,381,377,376,378,376,378,1
385,384,382,378,372,371,372,372,376,1
386,386,388,386,385,380,378,376,377,1
386,385,384,382,378,377,378,377,378,1
385,384,382,378,372,371,372,372,376,1
387,387,388,386,385,380,378,376,377,1
386,385,385,382,378,377,378,377,378,1
385,384,382,378,372,371,373,372,376,1
387,387,388,386,385,379,378,376,377,1
387,386,385,383,379,378,379,377,379,1
386,385,382,379,372,371,373,372,376,1
387,387,388,386,385,380,378,376,377,1
387,386,385,383,380,378,379,377,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,385,379,378,376,377,1
387,386,386,383,380,379,379,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,385,379,378,375,377,1
387,386,386,384,381,379,380,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,385,379,378,375,377,1
387,386,386,384,381,379,380,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,384,379,378,375,377,1
387,386,386,384,382,379,380,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,384,379,378,375,377,1
387,386,386,384,382,380,380,378,379,1
386,385,382,379,372,371,373,373,377,1
386,387,387,385,384,378,377,375,377,1
387,386,386,384,382,380,380,378,379,1
386,385,382,379,372,371,373,373,377,1
386,386,387,385,383,378,377,375,377,1
386,386,386,384,382,380,380,378,379,1
386,385,382,379,372,372,374,373,377,1
386,386,387,385,383,378,377,375,377,1
386,386,386,385,383,380,380,378,379,1
386,385,382,379,372,372,374,374,377,1
387,387,387,385,383,378,377,375,377,1
387,387,387,385,383,380,380,378,379,1
386,385,382,379,373,372,374,374,377,1
387,386,387,385,382,378,377,375,377,1
387,387,387,386,384,381,381,378,379,1
386,385,382,379,373,372,374,374,377,1
386,386,387,384,382,377,376,374,377,1
387,386,387,385,384,380,380,378,378,1
386,385,382,379,373,372,374,374,377,1
386,386,386,384,382,377,376,374,376,1
387,386,387,385,384,381,380,378,379,1
386,385,382,379,373,373,375,374,378,1
387,387,387,384,382,377,376,374,377,1
387,387,388,386,385,381,381,378,379,1
386,385,382,379,373,373,375,374,378,1
386,386,386,384,381,377,376,374,377,1
387,387,388,386,385,381,381,378,379,1
386,385,382,379,373,373,375,375,378,1
386,386,386,384,381,376,375,374,377,1
387,387,388,386,385,381,380,378,378,1
386,385,382,379,373,373,375,374,377,1
386,386,386,383,380,376,375,373,376,1
387,387,388,386,386,382,381,378,379,1
386,385,382,379,373,373,375,375,378,1
386,386,386,383,380,375,375,373,376,1
387,387,388,387,386,381,380,378,378,1
386,385,382,379,373,373,375,375,378,1
386,386,385,383,379,375,375,374,376,1
387,387,388,387,386,382,381,378,379,1
386,385,382,379,373,373,375,375,378,1
386,386,385,383,379,375,374,373,376,1
387,387,389,387,386,382,381,378,378,1
386,385,383,380,374,374,376,375,378,1
386,386,385,383,379,375,375,373,376,1
387,387,388,387,387,382,381,378,379,1
386,385,383,379,373,373,375,375,378,1
386,386,385,382,378,374,374,373,376,1
387,387,389,387,387,382,381,378,379,1
386,385,383,379,373,374,376,375,378,1
386,385,384,382,377,374,374,373,376,1
387,387,389,387,386,382,381,378,379,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,376,373,374,373,376,1
387,387,388,387,386,382,380,378,378,1
386,385,383,380,374,374,376,375,378,1
385,385,384,381,376,373,374,373,376,1
387,387,388,387,386,382,380,378,378,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,376,373,373,372,376,1
387,387,388,387,386,382,380,377,378,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,375,372,373,372,376,1
386,387,388,387,386,381,380,377,378,1
386,385,383,380,375,375,377,376,378,1
385,385,383,380,375,372,373,372,376,1
386,386,388,386,386,381,380,377,378,1
386,385,383,380,375,374,376,375,378,1
385,385,383,380,374,372,373,372,376,1
386,386,388,386,385,380,379,376,377,1
386,385,383,380,375,375,376,375,378,1
385,385,383,380,374,372,373,372,376,1
387,387,388,386,386,381,380,377,378,1
386,385,383,381,376,375,377,376,378,1
385,385,383,380,374,372,373,372,376,1
387,387,388,386,386,381,379,377,378,1
386,385,383,381,376,375,377,376,378,1
386,385,383,380,374,372,373,372,376,1
387,387,388,386,386,380,379,376,378,1
386,385,384,381,376,375,377,376,378,1
385,385,383,379,373,371,372,372,376,1
386,386,388,386,385,380,379,376,377,1
386,385,384,381,376,376,377,376,378,1
385,385,383,379,373,372,373,373,376,1
387,387,388,386,385,380,379,376,378,1
387,386,384,382,377,377,378,377,379,1
386,385,383,380,374,372,373,373,377,1
387,387,389,387,386,381,380,377,378,1
386,385,384,382,377,377,378,377,379,1
386,385,383,379,373,372,373,373,377,1
387,387,388,386,385,380,379,376,378,1
386,385,384,382,378,377,378,377,379,1
386,385,383,379,373,372,373,373,377,1
387,387,388,386,385,380,379,376,378,1
386,385,384,382,378,377,378,377,379,1
385,384,382,379,373,371,372,372,376,1
386,386,388,386,385,380,378,376,377,1
386,385,384,382,378,377,378,376,378,1
385,384,382,378,372,371,372,372,376,1
386,386,388,386,385,379,378,375,377,1
386,385,384,382,378,377,378,376,378,1
385,384,382,378,372,371,372,372,376,1
386,386,388,386,385,379,378,376,377,1
386,385,384,382,378,377,378,377,378,1
385,384,382,378,371,370,372,372,376,1
386,387,388,386,385,379,378,375,377,1
386,385,385,383,379,377,378,377,378,1
385,384,382,378,372,371,372,372,376,1
386,387,388,386,385,379,378,375,377,1
386,385,385,383,379,378,379,377,379,1
386,385,382,378,371,371,372,372,376,1
387,387,388,386,385,379,378,376,377,1
387,386,385,383,380,378,379,377,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,385,379,378,375,377,1
386,386,386,383,380,378,379,377,379,1
385,384,382,378,371,371,373,372,376,1
387,387,388,386,385,379,378,375,377,1
386,386,386,384,381,379,379,377,379,1
386,384,382,378,372,371,373,373,377,1
387,387,388,386,384,379,378,375,377,1
386,386,386,384,381,379,379,377,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,384,379,377,375,377,1
387,386,386,384,382,379,379,377,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,384,378,377,375,377,1
386,386,386,384,382,379,380,378,379,1
386,385,382,379,372,371,373,373,377,1
386,387,387,385,384,378,377,375,377,1
386,386,386,384,382,380,380,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,387,385,383,378,377,374,377,1
386,386,387,385,383,380,380,378,379,1
385,384,382,378,372,372,374,373,377,1
386,386,387,385,383,378,377,375,377,1
387,386,386,384,382,379,380,377,378,1
386,385,382,379,372,372,373,373,377,1
386,386,387,385,383,378,377,374,377,1
386,386,386,385,383,380,380,378,379,1
386,385,382,379,372,372,374,373,377,1
386,386,387,385,383,377,376,374,376,1
386,386,387,385,383,380,380,378,378,1
385,384,382,379,372,372,374,374,377,1
386,386,387,384,382,377,376,374,377,1
387,386,387,385,383,380,380,378,379,1
386,385,382,379,373,373,374,374,377,1
386,386,387,384,382,377,376,374,377,1
387,386,387,385,384,380,380,378,379,1
386,385,382,379,373,372,374,374,377,1
386,386,386,384,382,377,376,374,377,1
387,386,387,385,384,380,380,378,379,1
386,385,382,379,373,373,374,374,377,1
386,386,386,384,382,377,376,374,377,1
387,387,388,386,384,381,381,378,379,1
386,385,382,379,373,373,375,374,378,1
386,386,386,384,381,376,376,374,377,1
387,387,388,386,385,381,380,378,379,1
386,385,382,379,373,373,374,374,377,1
386,386,386,384,381,376,376,374,376,1
387,387,388,386,385,381,381,378,379,1
386,384,382,379,373,373,375,374,377,1
386,386,386,384,381,376,376,374,377,1
387,387,388,387,386,382,382,379,379,1
386,385,383,380,374,374,376,376,378,1
388,388,388,386,384,379,379,377,378,1
389,389,391,390,390,387,386,383,382,1
389,387,385,382,376,377,379,379,381,1
389,388,388,385,381,377,376,375,379,1
389,388,389,387,385,381,380,378,379,1
386,385,383,379,373,372,374,374,377,1
385,385,384,381,377,373,372,371,375,1
385,385,386,384,382,377,377,374,376,1
383,382,379,376,368,368,370,370,374,1
383,384,383,380,376,372,371,370,373,1
384,384,385,383,382,378,377,375,376,1
383,382,380,377,370,370,372,372,375,1
385,385,385,383,381,377,376,374,376,1
386,386,388,387,387,383,382,379,379,1
386,385,383,380,375,375,377,377,379,1
387,386,385,383,379,375,375,374,377,1
388,387,388,387,386,381,380,378,379,1
386,385,383,380,374,374,375,375,378,1
386,386,385,382,378,375,375,373,376,1
387,387,389,387,387,382,381,378,379,1
386,385,383,380,374,374,376,376,378,1
387,386,386,383,379,376,376,374,377,1
387,387,389,387,387,382,381,379,379,1
386,385,383,380,374,374,376,375,378,1
386,386,385,382,378,375,375,373,377,1
387,387,389,387,386,382,381,378,379,1
386,385,383,380,374,374,376,375,378,1
386,386,385,382,378,375,375,374,377,1
387,387,388,387,386,381,380,378,378,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,377,374,374,373,376,1
386,386,387,385,385,380,379,377,378,1
386,384,382,379,373,373,375,374,377,1
386,385,384,381,377,373,374,373,376,1
387,387,388,386,386,381,380,377,378,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,376,373,374,373,376,1
386,386,388,386,385,381,380,377,378,1
386,385,383,380,374,374,376,375,378,1
386,386,384,381,376,374,374,373,376,1
387,387,388,386,386,381,380,377,378,1
386,385,383,380,375,374,376,375,378,1
386,385,384,381,376,374,374,373,376,1
387,387,389,387,386,381,380,378,378,1
386,385,383,380,375,375,376,376,378,1
386,385,384,381,375,373,373,373,376,1
387,387,388,386,386,380,379,377,378,1
386,385,383,380,375,375,376,375,378,1
386,385,383,380,375,373,373,373,376,1
